identifier,date,report,desc,title,for,against,abstention,no_show,excused
169648,2024-09-19 12:18:55,RC-B10-0028/2024,,– § 9/2,313,247,49,30,8
169649,2024-09-19 12:19:06,RC-B10-0028/2024,,– § 9/3,370,205,43,21,8
169650,2024-09-19 12:19:20,RC-B10-0028/2024,,– After § 10 – Am 22,151,429,37,22,8
169651,2024-09-19 12:19:33,RC-B10-0028/2024,,– § 11,448,129,45,17,8
169652,2024-09-19 12:19:47,RC-B10-0028/2024,,– § 12 – Am 8,58,500,62,19,8
169653,2024-09-19 12:19:59,RC-B10-0028/2024,,– § 12,432,108,77,22,8
169654,2024-09-19 12:20:12,RC-B10-0028/2024,,– § 14 – Am 2,410,181,29,19,8
169656,2024-09-19,,,§ 15,,,,639,8
169657,2024-09-19 12:20:32,RC-B10-0028/2024,,– § 15/2,475,90,37,37,8
169658,2024-09-19 12:20:57,RC-B10-0028/2024,,– § 18 – Am 27,484,44,82,29,8
169659,2024-09-19,,,§ 18,,,,639,8
169661,2024-09-19,,,§ 19,,,,639,8
169662,2024-09-19 12:21:23,RC-B10-0028/2024,,– § 19/2,424,122,61,32,8
169663,2024-09-19 12:21:34,RC-B10-0028/2024,,– § 19/3,463,101,50,25,8
169664,2024-09-19 12:21:47,RC-B10-0028/2024,,– After § 21 – Am 23,71,460,80,28,8
169665,2024-09-19 12:22:00,RC-B10-0028/2024,,– After § 23 – Am 9,142,395,66,36,8
169666,2024-09-19 12:22:12,RC-B10-0028/2024,,– After § 23 – Am 24,104,485,30,20,8
169668,2024-09-19 12:22:52,RC-B10-0028/2024,,– Recital H – Am 1/1,406,174,35,24,8
169669,2024-09-19 12:23:03,RC-B10-0028/2024,,– Recital H – Am 1/2,253,307,45,34,8
169670,2024-09-19 12:23:17,RC-B10-0028/2024,,– After recital H – Am 10,167,434,22,16,8
169672,2024-09-19,,,Recital M,,,,639,8
169673,2024-09-19 12:23:43,RC-B10-0028/2024,,– Recital M/2,445,96,81,17,8
169674,2024-09-19 12:23:54,RC-B10-0028/2024,,– Recital P – Am 11,364,186,64,25,8
169675,2024-09-19 12:24:07,RC-B10-0028/2024,,– Citation 2 – Am 25,238,303,75,23,8
169676,2024-09-19 12:24:22,RC-B10-0028/2024,,– Motion for a resolution (as a whole),425,131,63,20,8
169677,2024-09-19,,,§ 3,386,216,6,639,8
169678,2024-09-19 12:39:28,RC-B10-0057/2024,,– Recital B,458,77,72,32,8
169701,2024-10-08 12:33:50,A10-0002/2024,,– Georgios Aftias – Proposal for a decision,632,7,3,16,14
169725,2024-10-07 17:26:10,Tuesday’s agenda,,Request by the PfE Group,85,335,5,192,1
169726,2024-10-07 17:28:22,Tuesday’s agenda,,Request by The Left Group,189,254,8,166,1
169733,2024-10-09,,,After § 8,,,,670,1
169734,2024-10-09,,,After § 9,,,,670,1
169736,2024-10-09,,,Recital O,,,,670,1
169739,2024-10-09,B10-0072/2024,,B10-0072/2024,,,,670,1
169740,2024-10-09,B10-0073/2024,,B10-0073/2024,,,,670,1
169741,2024-10-09,B10-0080/2024,,B10-0080/2024,,,,670,1
169742,2024-10-09,B10-0081/2024,,B10-0081/2024,,,,670,1
169743,2024-10-09,B10-0082/2024,,B10-0082/2024,,,,670,1
169744,2024-10-09,B10-0085/2024,,B10-0085/2024,,,,670,1
169748,2024-10-09,,,§ 6,,,,670,1
169749,2024-10-09,,,§ 7,327,280,42,670,1
169750,2024-10-09,,,After § 9,,,,670,1
169753,2024-10-09,B10-0070/2024,,B10-0070/2024,,,,670,1
169754,2024-10-09,B10-0071/2024,,B10-0071/2024,,,,670,1
169755,2024-10-09,B10-0074/2024,,B10-0074/2024,,,,670,1
169756,2024-10-09,B10-0079/2024,,B10-0079/2024,,,,670,1
169757,2024-10-09,B10-0083/2024,,B10-0083/2024,,,,670,1
169758,2024-10-09,B10-0084/2024,,B10-0084/2024,,,,670,1
169759,2024-10-09,B10-0086/2024,,B10-0086/2024,,,,670,1
169760,2024-10-09 12:40:36,RC-B10-0072/2024,,– § 5,530,49,77,14,1
169761,2024-10-09 12:40:49,RC-B10-0072/2024,,– § 7 – Am 1,156,307,180,27,1
169762,2024-10-09 12:41:00,RC-B10-0072/2024,,– § 8,527,82,49,12,1
169764,2024-10-09,,,§ 9,515,85,28,670,1
169765,2024-10-09 12:41:34,RC-B10-0072/2024,,– § 9/2,500,119,41,10,1
169766,2024-10-09 12:41:49,RC-B10-0072/2024,,– § 11 – Am 2,467,95,90,18,1
169767,2024-10-09,,,§ 11,,,,670,1
169768,2024-10-09 12:42:02,RC-B10-0072/2024,,– § 17,542,70,49,9,1
169769,2024-10-09 12:42:25,RC-B10-0072/2024,,– Recital C,572,46,46,6,1
169770,2024-10-09 12:42:41,RC-B10-0072/2024,,– Motion for a resolution (as a whole),508,53,104,5,1
169771,2024-10-09 12:43:03,RC-B10-0070/2024,,– § 1 – Am 2,93,526,41,10,1
169773,2024-10-09 12:43:15,RC-B10-0070/2024,,– § 1/1,504,89,69,8,1
169774,2024-10-09 12:43:26,RC-B10-0070/2024,,– § 1/2,456,126,64,24,1
169775,2024-10-09 12:43:36,RC-B10-0070/2024,,– After § 1 – Am 1,212,316,134,8,1
169777,2024-10-09,,,§ 2,,,,670,1
169778,2024-10-09 12:43:52,RC-B10-0070/2024,,– § 2/2,499,98,67,6,1
169779,2024-10-09,,,§ 3,,,,670,1
169781,2024-10-09,,,§ 5,,,,670,1
169782,2024-10-09,,,§ 5,,,,670,1
169783,2024-10-09,,,§ 5,,,,670,1
169785,2024-10-09,,,§ 7,,,,670,1
169786,2024-10-09,,,§ 7,,,,670,1
169788,2024-10-09,,,§ 8,,,,670,1
169789,2024-10-09,,,§ 8,,,,670,1
169790,2024-10-09 12:44:50,RC-B10-0070/2024,,– § 9,490,114,61,5,1
169792,2024-10-09,,,§ 18,,,,670,1
169793,2024-10-09,,,§ 18,340,280,26,670,1
169795,2024-10-09,,,§ 19,,,,670,1
169796,2024-10-09,,,§ 19,,,,670,1
169798,2024-10-09,,,§ 21,350,259,43,670,1
169799,2024-10-09,,,§ 21,,,,670,1
169801,2024-10-09 12:45:54,RC-B10-0070/2024,,– § 22/1,501,65,95,9,1
169802,2024-10-09 12:46:03,RC-B10-0070/2024,,– § 22/2,487,113,50,20,1
169803,2024-10-09 12:46:14,RC-B10-0070/2024,,– Recital O,473,114,72,11,1
169805,2024-10-09,,,Recital P,,,,670,1
169806,2024-10-09,,,Recital P,,,,670,1
