mepid,mep,group,voted
6336,Ujhelyi,S&D,6578
5859,Ulvskog,S&D,6964
6007,Ungureanu,PPE,7283
6715,Urbán Crespo,GUE/NGL,7367
6591,Urtasun,Verts/ALE,7210
5734,Urutchev,PPE,7995
5879,Uspaskich,ALDE,5964
5600,Vaidere,PPE,6779
6151,Vajgl,ALDE,7878
6638,Valcárcel,PPE,474
6638,Valcárcel Siso,PPE,7386
4757,Valenciano,S&D,6377
4757,Valenciano Martínez-Orozco,S&D,54
6605,Valero,Verts/ALE,7134
6412,Valli,EFDD,8050
6656,Vallina,GUE/NGL,5845
6711,Van Bossuyt,ECR,7602
4990,Van Brempt,S&D,7437
4917,Van Orden,ECR,6565
6683,Van Overtveldt,ECR,39
6551,Vana,Verts/ALE,7786
6706,Vandenkendelaere,PPE,7435
6086,Vaughan,S&D,7871
6710,Vautmans,ALDE,7395
6774,Vehkaperä,ALDE,1924
6030,Vergiat,GUE/NGL,7342
5930,Verheyen,PPE,7553
6159,Verhofstadt,ALDE,7088
6678,Viegas,GUE/NGL,7738
6747,Vieu,GUE/NGL,2104
6610,Vilimsky,ENF,7824
6425,Viotti,S&D,7858
6356,Virkkunen,PPE,7266
6513,Vistisen,ECR,7407
6469,Voigt,NI,7433
5934,Voss,PPE,7614
6664,Vozemberg,PPE,973
6664,Vozemberg-Vrionidi,PPE,4673
4550,Väyrynen,ALDE,5532
5714,Vălean,PPE,6391
6757,Waitz,Verts/ALE,2950
6582,Ward,S&D,7818
5947,Wałęsa,PPE,7741
5351,Weber Manfred,PPE,7304
5770,Weber Renate,ALDE,6392
6235,Weidenholzer,S&D,7479
6542,Wenta,PPE,6774
6463,Werner,S&D,7461
6011,Westphal,S&D,5451
4643,Wieland,PPE,7840
6729,Wierinck,ALDE,5080
5864,Wikström,ALDE,6817
5698,Willmott,S&D,3378
6607,Winberg,ECR,7626
5937,Winkler Hermann,PPE,6320
5782,Winkler Iuliu,PPE,7138
6787,Winter,S&D,494
6515,Wiśniewska,ECR,7273
5108,Wojciechowski,ECR,2598
6585,Woolfe,EFDD,5713
6735,Wölken,S&D,3894
6665,Zagorakis,PPE,5295
5052,Zahradil,ECR,7193
5845,Zala,S&D,5508
