date,code,reference,name,baseurl,extensions
2017-01-19,VOT,P8_PV-PROV(2017)01-19(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-19/pv_provisoire/P8_PV-PROV(2017)01-19(VOT)_EN,pdf|docx
2017-01-18,VOT,P8_PV-PROV(2017)01-18(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-18/pv_provisoire/P8_PV-PROV(2017)01-18(VOT)_EN,pdf|docx
2016-11-22,VOT,P8_PV(2016)11-22(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-22/liste_presence/P8_PV(2016)11-22(VOT)_EN,pdf|docx
2016-10-27,VOT,P8_PV(2016)10-27(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-27/liste_presence/P8_PV(2016)10-27(VOT)_EN,pdf|docx
2016-10-26,VOT,P8_PV(2016)10-26(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-26/liste_presence/P8_PV(2016)10-26(VOT)_EN,pdf|doc
2016-12-15,VOT,P8_PV-PROV(2016)12-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-15/pv_provisoire/P8_PV-PROV(2016)12-15(VOT)_EN,pdf|docx
2016-10-25,VOT,P8_PV(2016)10-25(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-25/liste_presence/P8_PV(2016)10-25(VOT)_EN,pdf|docx
2016-10-06,VOT,P8_PV(2016)10-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-06/liste_presence/P8_PV(2016)10-06(VOT)_EN,pdf|docx
2016-10-05,VOT,P8_PV(2016)10-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-05/liste_presence/P8_PV(2016)10-05(VOT)_EN,pdf|docx
2016-12-14,VOT,P8_PV-PROV(2016)12-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-14/pv_provisoire/P8_PV-PROV(2016)12-14(VOT)_EN,pdf|docx
2016-12-13,VOT,P8_PV-PROV(2016)12-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-13/pv_provisoire/P8_PV-PROV(2016)12-13(VOT)_EN,pdf|docx
2016-12-01,VOT,P8_PV-PROV(2016)12-01(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-01/pv_provisoire/P8_PV-PROV(2016)12-01(VOT)_EN,pdf|docx
2016-10-04,VOT,P8_PV(2016)10-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/10-04/liste_presence/P8_PV(2016)10-04(VOT)_EN,pdf|docx
2016-09-15,VOT,P8_PV(2016)09-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/09-15/liste_presence/P8_PV(2016)09-15(VOT)_EN,pdf|docx
