date,code,status,reference,name,baseurl,extensions
2017-12-12,RCV,final,P8_PV(2017)12-12(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 12 décembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-12/liste_presence/P8_PV(2017)12-12(RCV)_XC,pdf|xml|docx
2017-11-30,RCV,final,P8_PV(2017)11-30(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 30 novembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-30/liste_presence/P8_PV(2017)11-30(RCV)_XC,pdf|xml|docx
2017-11-16,RCV,final,P8_PV(2017)11-16(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 16 novembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-16/liste_presence/P8_PV(2017)11-16(RCV)_XC,pdf|xml|docx
2017-11-15,RCV,final,P8_PV(2017)11-15(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 15 novembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-15/liste_presence/P8_PV(2017)11-15(RCV)_XC,pdf|xml|docx
2017-11-14,RCV,final,P8_PV(2017)11-14(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 14 novembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-14/liste_presence/P8_PV(2017)11-14(RCV)_XC,pdf|xml|docx
2017-11-13,RCV,final,P8_PV(2017)11-13(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 13 novembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-13/liste_presence/P8_PV(2017)11-13(RCV)_XC,pdf|xml|docx
2017-10-26,RCV,final,P8_PV(2017)10-26(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 26 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-26/liste_presence/P8_PV(2017)10-26(RCV)_XC,pdf|xml|docx
2017-10-25,RCV,final,P8_PV(2017)10-25(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 25 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-25/liste_presence/P8_PV(2017)10-25(RCV)_XC,pdf|xml|docx
2017-10-24,RCV,final,P8_PV(2017)10-24(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 24 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-24/liste_presence/P8_PV(2017)10-24(RCV)_XC,pdf|xml|docx
2017-10-23,RCV,final,P8_PV(2017)10-23(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 23 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-23/liste_presence/P8_PV(2017)10-23(RCV)_XC,pdf|xml|docx
