name,id,first,last
McAllister,124806,2014-07-01,2018-07-05
McAvan,2327,2014-07-01,2018-07-05
McClarkin,96919,2014-07-01,2018-07-05
McGuinness,28115,2014-07-01,2018-07-04
McIntyre,111011,2014-07-01,2018-07-05
Meissner,96870,2014-07-01,2018-07-05
Melior,124838,2014-07-01,2018-07-05
Melo,96978,2014-07-01,2018-07-04
Messerschmidt,96663,2014-07-01,2018-07-05
Meszerics,124720,2014-07-01,2018-07-05
Metsola,118859,2014-07-01,2018-07-05
Metz,193292,2018-07-02,2018-07-05
Meuthen,190518,2017-12-11,2018-07-05
Michał Boni,124896,2014-07-01,2014-11-13
Michel,96670,2014-07-01,2018-07-05
Michels,120478,2014-07-01,2018-07-05
Miguel Arias Cañete,1351,2014-07-01,2014-10-23
Mihaylova,125128,2014-07-01,2018-07-05
Mikolášik,28178,2014-07-01,2018-07-05
Millán Mon,28400,2014-07-01,2018-07-05
Mineur,125037,2014-07-01,2018-07-05
Miranda,24942,2018-02-28,2018-06-14
Miriam Dalli,124970,2014-07-01,2018-07-05
Mitrofanovs,191695,2018-03-12,2018-07-05
Mizzi,118858,2014-07-01,2018-07-05
Mlinar,125026,2014-07-01,2018-06-14
Mobarik,189391,2017-09-11,2018-07-05
Moi,124859,2014-07-01,2018-07-05
Moisă,124789,2014-07-01,2018-07-05
Molnár,124722,2014-07-01,2018-07-05
Monot,124761,2014-07-01,2018-07-05
Monteiro de Aguiar,124734,2014-07-01,2018-07-05
Montel,124769,2014-07-01,2018-07-05
Moody,124944,2014-07-01,2018-07-05
Moraes,4519,2014-07-01,2018-06-14
Morano,72779,2014-07-01,2018-07-05
Moretti,124799,2014-07-01,2014-12-18
Morgano,124788,2014-07-01,2018-07-05
Morin-Chartier,38596,2014-07-01,2018-07-05
Morvai,96661,2014-07-01,2018-07-05
Mosca,124868,2014-07-01,2018-07-04
Mureşan,124802,2014-07-03,2018-07-05
Mureșan,124802,2014-07-01,2015-03-12
Muselier,124729,2014-07-01,2018-07-04
Mussolini,28429,2014-07-01,2018-07-04
Mélenchon,96742,2014-07-01,2017-03-16
Mélin,124765,2014-07-01,2018-07-05
Müller,124862,2014-07-01,2018-07-05
Mănescu,39717,2014-07-01,2018-07-04
Nadja Hirsch,96872,2017-11-30,2018-03-01
Nadja Yvonne Hirsch,96872,2017-11-15,2017-11-29
Nagtegaal,190519,2017-11-30,2018-07-05
Nagtegaal-van Doorn,190519,2017-11-15,2017-11-29
Nagy,124926,2014-07-01,2018-07-05
Nart,125005,2014-07-01,2018-07-05
Nathan Gill,124965,2014-07-01,2018-07-05
Neena Gill,4533,2014-07-01,2018-07-05
Negrescu,88882,2014-07-01,2017-07-03
Nekov,125013,2014-07-01,2018-07-05
Neuser,96844,2014-07-01,2018-07-05
Neyts-Uyttebroeck,1946,2014-07-01,2014-12-18
Nica,124784,2014-07-01,2018-03-01
Nicholson,1318,2014-07-02,2018-07-05
Nicolai,96825,2014-07-01,2018-07-04
Niebler,4289,2014-07-01,2018-07-05
Niedermayer,124701,2014-07-01,2018-07-05
Niedermüller,124723,2014-07-01,2018-07-05
Nilsson,111024,2014-07-01,2018-03-13
Noichl,124836,2014-07-01,2018-07-05
Novakov,107212,2014-12-15,2018-07-05
Nuttall,96805,2014-07-01,2018-07-04
Ní Riada,124987,2014-07-01,2018-07-05
O'Flynn,124940,2014-07-01,2018-07-05
Obermayr,96981,2014-07-01,2018-07-05
Olbrycht,28288,2014-07-01,2018-07-05
Olli Rehn,2119,2014-07-01,2015-02-25
Omarjee,30482,2014-07-01,2018-07-05
Ożóg,124897,2014-07-01,2018-07-05
Paavo Väyrynen,2128,2014-07-01,2018-05-30
