date,code,status,reference,name,baseurl,extensions
2017-10-04,minute,final,P8_PV(2017)10-04,Procès-verbal définitif - Séance plénière - 04/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-04/liste_presence/P8_PV(2017)10-04_FR,pdf|xml|docx
2017-10-03,minute,final,P8_PV(2017)10-03,Procès-verbal définitif - Séance plénière - 03/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-03/liste_presence/P8_PV(2017)10-03_FR,pdf|xml|docx
2017-10-02,minute,final,P8_PV(2017)10-02,Procès-verbal définitif - Séance plénière - 02/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-02/liste_presence/P8_PV(2017)10-02_FR,pdf|xml|docx
2017-09-14,minute,final,P8_PV(2017)09-14,Procès-verbal définitif - Séance plénière - 14/09/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-14/liste_presence/P8_PV(2017)09-14_FR,pdf|xml|docx
2017-09-13,minute,final,P8_PV(2017)09-13,Procès-verbal définitif - Séance plénière - 13/09/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-13/liste_presence/P8_PV(2017)09-13_FR,pdf|xml|docx
2017-09-12,minute,final,P8_PV(2017)09-12,Procès-verbal définitif - Séance plénière - 12/09/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-12/liste_presence/P8_PV(2017)09-12_FR,pdf|xml|docx
2017-09-11,minute,final,P8_PV(2017)09-11,Procès-verbal définitif - Séance plénière - 11/09/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-11/liste_presence/P8_PV(2017)09-11_FR,pdf|xml|docx
2017-07-06,minute,final,P8_PV(2017)07-06,Procès-verbal définitif - Séance plénière - 06/07/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-06/liste_presence/P8_PV(2017)07-06_FR,pdf|xml|docx
2017-07-05,minute,final,P8_PV(2017)07-05,Procès-verbal définitif - Séance plénière - 05/07/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-05/liste_presence/P8_PV(2017)07-05_FR,pdf|xml|docx
2017-07-04,minute,final,P8_PV(2017)07-04,"Procès-verbal - Séance plénière - Mardi, 04 juillet 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-04/liste_presence/P8_PV(2017)07-04_FR,pdf|xml|docx
2017-07-03,minute,final,P8_PV(2017)07-03,Procès-verbal définitif - Séance plénière - 03/07/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-03/liste_presence/P8_PV(2017)07-03_FR,pdf|xml|docx
2017-06-15,minute,final,P8_PV(2017)06-15,Procès-verbal définitif - Séance plénière - 15/06/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-15/liste_presence/P8_PV(2017)06-15_FR,pdf|xml|docx
2017-06-14,minute,final,P8_PV(2017)06-14,Procès-verbal définitif - Séance plénière - 14/06/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-14/liste_presence/P8_PV(2017)06-14_FR,pdf|xml|docx
2017-06-13,minute,final,P8_PV(2017)06-13,Procès-verbal définitif - Séance plénière - 13/06/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-13/liste_presence/P8_PV(2017)06-13_FR,pdf|xml|docx
2017-06-12,minute,final,P8_PV(2017)06-12,Procès-verbal définitif - Séance plénière - 12/06/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-12/liste_presence/P8_PV(2017)06-12_FR,pdf|xml|docx
2017-06-01,minute,final,P8_PV(2017)06-01,Procès-verbal définitif - Séance plénière - 01/06/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/06-01/liste_presence/P8_PV(2017)06-01_FR,pdf|xml|docx
2017-05-31,minute,final,P8_PV(2017)05-31,Procès-verbal définitif - Séance plénière - 31/05/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/05-31/liste_presence/P8_PV(2017)05-31_FR,pdf|xml|docx
